snp	chromosome	basepair	gene	phewas_code	phewas_string	cases	odds_ratio	p
rs2305480	17	38062196.0	GSDMB	281.1	Megaloblastic anemia	176	1.465	0.0004684
rs2305480	17	38062196.0	GSDMB	737.0	Curvature of spine	353	0.7679	0.0008976000000000001
rs2305480	17	38062196.0	GSDMB	281.12	Other vitamin B12 deficiency anemia	84	1.594	0.003007
rs2305480	17	38062196.0	GSDMB	433.6	Acute, but ill-defined cerebrovascular disease	579	0.8277	0.003421
rs2305480	17	38062196.0	GSDMB	715.1	Sacroiliitis NEC	47	1.814	0.00492
rs2305480	17	38062196.0	GSDMB	735.21	Hammer toe (acquired	563	0.8320000000000001	0.005004
rs2305480	17	38062196.0	GSDMB	722.7	Intervertebral disc disorder with myelopathy	52	0.5527	0.005565
rs2305480	17	38062196.0	GSDMB	364.4	Corneal degenerations	184	0.7335	0.005898
rs2305480	17	38062196.0	GSDMB	362.9	Retinal edema and hypertensive retinopathy	220	0.7598	0.007194
rs2305480	17	38062196.0	GSDMB	593.0	Hematuria	1939	0.8982	0.007592
rs2305480	17	38062196.0	GSDMB	964.0	Poisoning by agents primarily affecting blood constituents	71	0.6212	0.008076999999999999
rs2305480	17	38062196.0	GSDMB	473.4	Voice disturbance	487	0.8315	0.008416
rs2305480	17	38062196.0	GSDMB	281.0	Other deficiency anemia	307	1.242	0.009203
rs2305480	17	38062196.0	GSDMB	964.1	Anticoagulants causing adverse effects	63	0.6089	0.009545
rs2305480	17	38062196.0	GSDMB	600.0	Hyperplasia of prostate	2205	0.8769	0.009822
rs2305480	17	38062196.0	GSDMB	270.38	Other specified disorders of plasma protein metabolism	28	0.4842	0.014219999999999998
rs2305480	17	38062196.0	GSDMB	912.0	Insect bite	348	1.212	0.01494
rs2305480	17	38062196.0	GSDMB	286.0	Coagulation defects	2191	0.917	0.015780000000000002
rs2305480	17	38062196.0	GSDMB	8.52	Intestinal infection due to C. difficile	149	0.7493	0.0162
rs2305480	17	38062196.0	GSDMB	496.0	Chronic airway obstruction	1807	0.9098	0.01637
rs2305480	17	38062196.0	GSDMB	735.2	Acquired toe deformities	758	0.8728	0.01683
rs2305480	17	38062196.0	GSDMB	477.0	Epistaxis or throat hemorrage	493	0.8446	0.01719
rs2305480	17	38062196.0	GSDMB	681.0	Superficial cellulitis and abscess	2493	0.9214	0.01729
rs2305480	17	38062196.0	GSDMB	603.0	Other disorders of testis	201	0.7453	0.01741
rs2305480	17	38062196.0	GSDMB	599.4	Urinary incontinence	1353	0.8977	0.01753
rs2305480	17	38062196.0	GSDMB	110.13	Dermatophytosis of the body	169	0.7645	0.01761
rs2305480	17	38062196.0	GSDMB	519.2	Respiratory complications	63	0.6401	0.01794
rs2305480	17	38062196.0	GSDMB	603.1	Hydrocele	125	0.6987	0.01811
rs2305480	17	38062196.0	GSDMB	281.11	Pernicious anemia	109	1.382	0.01835
rs2305480	17	38062196.0	GSDMB	751.0	Genitourinary congenital anomalies	152	0.7564	0.019
rs2305480	17	38062196.0	GSDMB	389.1	Sensorineural hearing loss	2291	1.09	0.019780000000000002
rs2305480	17	38062196.0	GSDMB	374.3	Ptosis of eyelid	597	0.8546	0.02043
rs2305480	17	38062196.0	GSDMB	614.1	Pelvic peritoneal adhesions, female (postoperative) (postinfection)	25	1.969	0.020659999999999998
rs2305480	17	38062196.0	GSDMB	473.0	Diseases of the larynx and vocal cords	659	0.8696	0.021419999999999998
rs2305480	17	38062196.0	GSDMB	288.2	Elevated white blood cell count	239	0.8046	0.0215
rs2305480	17	38062196.0	GSDMB	753.1	Congenital cataract and lens anomalies	35	0.557	0.02281
rs2305480	17	38062196.0	GSDMB	473.1	Chronic laryngitis	35	0.5553	0.02349
rs2305480	17	38062196.0	GSDMB	286.5	Hemorrhagic disorder due to intrinsic circulating anticoagulants	2012	0.9196	0.02496
rs2305480	17	38062196.0	GSDMB	721.2	Spondylosis with myelopathy	153	1.296	0.02546
rs2305480	17	38062196.0	GSDMB	389.0	Hearing loss	3601	1.072	0.026080000000000002
rs2305480	17	38062196.0	GSDMB	809.0	Fracture of unspecified bones	842	0.8874	0.026080000000000002
