snp	chromosome	basepair	gene	phewas_code	phewas_string	cases	odds_ratio	p
rs8067378	17	38051348.0	*GSDMB	281.1	Megaloblastic anemia	176	0.6902	0.0007304999999999999
rs8067378	17	38051348.0	*GSDMB	600.0	Hyperplasia of prostate	2205	1.173	0.001452
rs8067378	17	38051348.0	*GSDMB	277.4	Disorders of bilirubin excretion	46	0.5048	0.001974
rs8067378	17	38051348.0	*GSDMB	362.9	Retinal edema and hypertensive retinopathy	220	1.334	0.004068
rs8067378	17	38051348.0	*GSDMB	281.12	Other vitamin B12 deficiency anemia	84	0.634	0.004121
rs8067378	17	38051348.0	*GSDMB	281.0	Other deficiency anemia	307	0.7893	0.004415
rs8067378	17	38051348.0	*GSDMB	374.3	Ptosis of eyelid	597	1.207	0.004762
rs8067378	17	38051348.0	*GSDMB	599.2	Retention of urine	1095	1.148	0.004823
rs8067378	17	38051348.0	*GSDMB	721.2	Spondylosis with myelopathy	153	0.723	0.005666
rs8067378	17	38051348.0	*GSDMB	337.1	Peripheral autonomic neuropathy	150	0.722	0.005757
rs8067378	17	38051348.0	*GSDMB	288.2	Elevated white blood cell count	239	1.2919999999999998	0.006027
rs8067378	17	38051348.0	*GSDMB	151.0	Cancer of stomach	51	0.5749	0.007408
rs8067378	17	38051348.0	*GSDMB	603.0	Other disorders of testis	201	1.38	0.008074
rs8067378	17	38051348.0	*GSDMB	753.1	Congenital cataract and lens anomalies	35	1.946	0.008121
rs8067378	17	38051348.0	*GSDMB	593.0	Hematuria	1939	1.1079999999999999	0.009951
rs8067378	17	38051348.0	*GSDMB	603.1	Hydrocele	125	1.459	0.01168
rs8067378	17	38051348.0	*GSDMB	420.0	Carditis	362	0.8264	0.01202
rs8067378	17	38051348.0	*GSDMB	364.4	Corneal degenerations	184	1.315	0.01227
rs8067378	17	38051348.0	*GSDMB	800.4	Fracture of patella	126	1.38	0.01268
rs8067378	17	38051348.0	*GSDMB	964.0	Poisoning by agents primarily affecting blood constituents	71	1.54	0.01273
rs8067378	17	38051348.0	*GSDMB	702.2	Seborrheic keratosis	2570	1.092	0.013369999999999998
rs8067378	17	38051348.0	*GSDMB	691.0	Congenital anomalies of skin	122	1.382	0.013680000000000001
rs8067378	17	38051348.0	*GSDMB	964.1	Anticoagulants causing adverse effects	63	1.575	0.01381
rs8067378	17	38051348.0	*GSDMB	337.0	Disorders of the autonomic nervous system	217	0.7867	0.013999999999999999
rs8067378	17	38051348.0	*GSDMB	721.0	Spondylosis and allied disorders	2154	0.9137	0.015080000000000001
rs8067378	17	38051348.0	*GSDMB	603.2	Spermatocele	68	1.609	0.015519999999999999
rs8067378	17	38051348.0	*GSDMB	751.21	Cystic kidney disease	75	1.489	0.01715
rs8067378	17	38051348.0	*GSDMB	599.5	Frequency of urination and polyuria	1457	1.1079999999999999	0.018000000000000002
rs8067378	17	38051348.0	*GSDMB	599.0	Other symptoms/disorders or the urinary system	3821	1.075	0.01849
rs8067378	17	38051348.0	*GSDMB	721.1	Spondylosis without myelopathy	2029	0.9142	0.018680000000000002
rs8067378	17	38051348.0	*GSDMB	751.0	Genitourinary congenital anomalies	152	1.314	0.019190000000000002
rs8067378	17	38051348.0	*GSDMB	558.0	Noninfectious gastroenteritis	1035	1.133	0.0193
rs8067378	17	38051348.0	*GSDMB	288.0	Diseases of white blood cells	565	1.1540000000000001	0.020030000000000003
rs8067378	17	38051348.0	*GSDMB	594.1	Calculus of kidney	628	1.1440000000000001	0.020319999999999998
rs8067378	17	38051348.0	*GSDMB	281.11	Pernicious anemia	109	0.727	0.02055
rs8067378	17	38051348.0	*GSDMB	260.0	Protein-calorie malnutrition	690	1.139	0.02059
rs8067378	17	38051348.0	*GSDMB	473.4	Voice disturbance	487	1.173	0.02061
rs8067378	17	38051348.0	*GSDMB	110.13	Dermatophytosis of the body	169	1.29	0.021169999999999998
rs8067378	17	38051348.0	*GSDMB	722.7	Intervertebral disc disorder with myelopathy	52	1.59	0.0229
rs8067378	17	38051348.0	*GSDMB	715.1	Sacroiliitis NEC	47	0.617	0.024030000000000003
rs8067378	17	38051348.0	*GSDMB	522.0	Diseases of pulp and periapical tissues	530	0.8583	0.02412
rs8067378	17	38051348.0	*GSDMB	287.1	Spontaneous ecchymoses	70	1.479	0.02501
rs8067378	17	38051348.0	*GSDMB	601.4	Balanoposthitis	67	1.5290000000000001	0.02515
rs8067378	17	38051348.0	*GSDMB	709.2	Sicca syndrome	100	1.381	0.02536
