snp	chromosome	basepair	gene	phewas_code	phewas_string	cases	odds_ratio	p
rs3859192	17		GSDMA	281.1	Megaloblastic anemia	176	0.6875	0.0009335000000000001
rs3859192	17		GSDMA	362.4	Retinal vascular changes and abnomalities	496	1.2570000000000001	0.001725
rs3859192	17		GSDMA	411.8	Other chronic ischemic heart disease, unspecified	1228	1.162	0.0019079999999999998
rs3859192	17		GSDMA	340.0	Migraine	744	1.183	0.002843
rs3859192	17		GSDMA	524.3	Anomalies of tooth position/malocclusion	61	1.75	0.002936
rs3859192	17		GSDMA	281.12	Other vitamin B12 deficiency anemia	84	0.6175	0.003389
rs3859192	17		GSDMA	743.12	Senile osteoporosis	95	1.557	0.005611
rs3859192	17		GSDMA	281.0	Other deficiency anemia	307	0.7911	0.005954999999999999
rs3859192	17		GSDMA	721.2	Spondylosis with myelopathy	153	0.7206	0.005964
rs3859192	17		GSDMA	364.9	Cornea replaced by transplant	49	1.777	0.0061270000000000005
rs3859192	17		GSDMA	681.3	Cellulitis and abscess of arm/hand	326	0.8032	0.008069
rs3859192	17		GSDMA	737.0	Curvature of spine	353	1.229	0.008643000000000001
rs3859192	17		GSDMA	496.0	Chronic airway obstruction	1807	1.1079999999999999	0.008808
rs3859192	17		GSDMA	362.22	Macular degeneration, wet	252	1.304	0.01126
rs3859192	17		GSDMA	277.7	Dysmetabolic syndrome X	112	0.7043	0.01155
rs3859192	17		GSDMA	962.2	Insulins and antidiabetic agents causing adverse effects in therapeutic use	45	0.5624	0.01222
rs3859192	17		GSDMA	293.1	Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	361	1.209	0.01374
rs3859192	17		GSDMA	293.0	Symptoms involving head and neck	529	1.17	0.0149
rs3859192	17		GSDMA	346.0	Abnormal findings on study of brain and/or nervous system	87	1.4580000000000002	0.0151
rs3859192	17		GSDMA	569.2	Gastrointestinal complications	270	0.8094	0.01743
rs3859192	17		GSDMA	870.3	Other open wound of head and face	464	0.8434	0.01761
rs3859192	17		GSDMA	442.8	Aneurysm of other specified artery	42	1.703	0.018000000000000002
rs3859192	17		GSDMA	585.1	Acute renal failure	797	1.137	0.01816
rs3859192	17		GSDMA	426.8	Other cardiac conduction disorders	52	1.621	0.01867
rs3859192	17		GSDMA	288.2	Elevated white blood cell count	239	1.2409999999999999	0.021230000000000002
rs3859192	17		GSDMA	524.0	Dentofacial anomalies, including malocclusion	81	1.4509999999999998	0.02172
rs3859192	17		GSDMA	528.11	Stomatitis and mucositis (ulcerative)	44	0.5945	0.022719999999999997
rs3859192	17		GSDMA	618.0	Genital prolapse	718	1.139	0.02302
rs3859192	17		GSDMA	735.21	Hammer toe (acquired	563	1.158	0.02603
rs3859192	17		GSDMA	275.51	Hypocalcemia	117	1.3430000000000002	0.02625
rs3859192	17		GSDMA	10.0	Tuberculosis	36	1.713	0.0265
rs3859192	17		GSDMA	686.3	Pilonidal cyst	27	1.8780000000000001	0.0277
rs3859192	17		GSDMA	275.3	Disorders of magnesium metabolism	198	1.251	0.02901
rs3859192	17		GSDMA	41.8	H. pylori	93	0.7175	0.02986
rs3859192	17		GSDMA	558.0	Noninfectious gastroenteritis	1035	1.124	0.03046
rs3859192	17		GSDMA	54.0	Herpes simplex	228	0.8087	0.031180000000000003
rs3859192	17		GSDMA	473.0	Diseases of the larynx and vocal cords	659	1.139	0.03284
rs3859192	17		GSDMA	53.1	Herpes zoster with nervous system complications	89	0.7172	0.03316
rs3859192	17		GSDMA	526.9	Jaw disease NOS	89	1.389	0.03374
rs3859192	17		GSDMA	315.2	Speech and language disorder	133	1.304	0.03469
rs3859192	17		GSDMA	284.1	Pancytopenia	80	1.4040000000000001	0.035019999999999996
rs3859192	17		GSDMA	473.4	Voice disturbance	487	1.158	0.0358
rs3859192	17		GSDMA	618.5	Prolapse of vaginal vault after hysterectomy	102	1.347	0.03633
rs3859192	17		GSDMA	627.2	Symptomatic menopause	1847	1.115	0.03746
rs3859192	17		GSDMA	527.0	Diseases of the salivary glands	238	1.215	0.03942
rs3859192	17		GSDMA	360.0	Disorders of the globe	111	1.325	0.04163
rs3859192	17		GSDMA	793.7	Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	72	0.7018	0.04197
rs3859192	17		GSDMA	610.4	Benign neoplasm of breast	78	1.402	0.04204
rs3859192	17		GSDMA	276.41	Acidosis	153	1.263	0.04333
rs3859192	17		GSDMA	506.0	Empyema and pneumothorax	228	1.215	0.04335
rs3859192	17		GSDMA	627.5	Premature menopause and other ovarian failure	46	0.6322	0.0444
rs3859192	17		GSDMA	244.2	Acquired hypothyroidism	45	0.6385	0.04505
rs3859192	17		GSDMA	803.1	Fracture of humerus	331	1.178	0.04602
rs3859192	17		GSDMA	278.11	Morbid obesity	734	0.8937	0.04702
rs3859192	17		GSDMA	170.1	Bone cancer	58	0.6809	0.04724
rs3859192	17		GSDMA	596.0	Other disorders of bladder	727	0.8946	0.04778
rs3859192	17		GSDMA	842.0	Other sprains and strains	188	1.239	0.04793
rs3859192	17		GSDMA	870.0	Open wounds of head; neck; and trunk	912	0.9021	0.04797
rs3859192	17		GSDMA	433.21	Cerebral artery occlusion, with cerebral infarction	510	1.139	0.04829
rs3859192	17		GSDMA	588.0	Disorders resulting from impaired renal function	238	1.206	0.0486
rs3859192	17		GSDMA	172.1	Melanomas of skin, dx or hx	268	1.189	0.048639999999999996
rs3859192	17		GSDMA	213.0	Benign neoplasm of bone and articular cartilage	54	1.474	0.04886
rs3859192	17		GSDMA	696.41	Psoriasis vulgaris	311	1.176	0.05027
rs3859192	17		GSDMA	345.12	Partial epilepsy	128	0.7757	0.05036
rs3859192	17		GSDMA	276.4	Acid-base balance disorder	215	1.2109999999999999	0.050539999999999995
rs3859192	17		GSDMA	735.2	Acquired toe deformities	758	1.119	0.0507
rs3859192	17		GSDMA	362.8	Retinal hemorrhage/ischemia	162	1.264	0.05081
rs3859192	17		GSDMA	696.0	Psoriasis and related disorders	368	1.161	0.05127999999999999
rs3859192	17		GSDMA	275.0	Disorders of mineral metabolism	943	1.1	0.05136
rs3859192	17		GSDMA	535.8	Other specified gastritis	301	1.18	0.052360000000000004
rs3859192	17		GSDMA	531.2	Gastric ulcer	280	1.189	0.053070000000000006
rs3859192	17		GSDMA	447.0	Other disorders of arteries and arterioles	354	0.8509	0.053270000000000005
rs3859192	17		GSDMA	261.0	Vitamin deficiency	640	0.8925	0.053439999999999994
rs3859192	17		GSDMA	278.3	Localized adiposity	37	0.6209	0.05368
rs3859192	17		GSDMA	433.2	Occlusion of cerebral arteries	565	1.129	0.05459
rs3859192	17		GSDMA	287.1	Spontaneous ecchymoses	70	1.396	0.05602000000000001
rs3859192	17		GSDMA	962.0	Poisoning by hormones and synthetic substitutes	159	0.7968	0.056179999999999994
rs3859192	17		GSDMA	702.1	Actinic keratosis	2505	1.074	0.05691
rs3859192	17		GSDMA	525.1	Loss of teeth or edentulism	163	1.238	0.057620000000000005
rs3859192	17		GSDMA	360.3	Hypotony of eye	28	1.6740000000000002	0.058870000000000006
rs3859192	17		GSDMA	41.9	Infection with drug-resistant microorganisms	150	0.7982	0.0591
rs3859192	17		GSDMA	285.21	Anemia in chronic kidney disease	230	1.2	0.0593
rs3859192	17		GSDMA	912.0	Insect bite	348	0.8595	0.05931
rs3859192	17		GSDMA	772.1	Muscular wasting and disuse atrophy	67	1.391	0.060020000000000004
rs3859192	17		GSDMA	801.0	Fracture of ankle and foot	948	1.1	0.060289999999999996
rs3859192	17		GSDMA	720.0	Spinal stenosis	1275	0.9191	0.06196
rs3859192	17		GSDMA	626.0	Disorders of menstruation and other abnormal bleeding from female genital tract	1184	1.1320000000000001	0.06209
rs3859192	17		GSDMA	610.2	Fibroadenosis of breast	26	1.6909999999999998	0.06267
rs3859192	17		GSDMA	707.1	Decubitus ulcer	385	1.15	0.06368
rs3859192	17		GSDMA	457.2	Encounter for long-term (current) use of antiplatelets/antithrombotics	30	1.641	0.06398999999999999
rs3859192	17		GSDMA	172.0	Skin cancer	2161	1.067	0.06498999999999999
rs3859192	17		GSDMA	381.9	Otorrhea	35	1.565	0.06692999999999999
rs3859192	17		GSDMA	588.1	Renal osteodystrophy	92	1.3159999999999998	0.06825
rs3859192	17		GSDMA	525.0	Other diseases of the teeth and supporting structures	330	1.159	0.06852000000000001
rs3859192	17		GSDMA	569.0	Other disorders of intestine	533	0.8904	0.0689
rs3859192	17		GSDMA	585.0	Renal failure	2061	1.069	0.06925
rs3859192	17		GSDMA	573.0	Other disorders of liver	1706	1.072	0.06976
rs3859192	17		GSDMA	290.12	Dementia with cerebral degenerations	82	1.3359999999999999	0.07132000000000001
rs3859192	17		GSDMA	785.0	Abdominal pain	5062	1.053	0.07222
rs3859192	17		GSDMA	312.0	Conduct disorders	76	1.344	0.0727
rs3859192	17		GSDMA	281.11	Pernicious anemia	109	0.7768	0.07349
rs3859192	17		GSDMA	696.4	Psoriasis	327	1.1540000000000001	0.07565
rs3859192	17		GSDMA	596.1	Bladder neck obstruction	308	0.858	0.07647999999999999
rs3859192	17		GSDMA	442.3	Aneurysm of artery of lower extremity	85	0.7474	0.07691
rs3859192	17		GSDMA	624.0	Symptoms involving female genital tract	167	0.8141	0.07746
rs3859192	17		GSDMA	495.1	Chronic obstructive asthma	253	0.8476	0.07762999999999999
rs3859192	17		GSDMA	256.4	Polycystic ovaries	33	1.575	0.07794
rs3859192	17		GSDMA	871.0	Open wounds of extremities	1720	0.9303	0.07874
rs3859192	17		GSDMA	451.0	Phlebitis and thrombophlebitis	565	1.129	0.08011
rs3859192	17		GSDMA	599.6	Oliguria and anuria	28	1.6230000000000002	0.0803
rs3859192	17		GSDMA	604.2	Vascular disorders of penis	27	0.6089	0.08048
rs3859192	17		GSDMA	345.1	Epilepsy	170	0.8222	0.081
rs3859192	17		GSDMA	151.0	Cancer of stomach	51	0.6986	0.08102999999999999
rs3859192	17		GSDMA	613.5	Mastodynia	311	1.167	0.08227999999999999
rs3859192	17		GSDMA	626.12	Excessive or frequent menstruation	464	1.181	0.08233
rs3859192	17		GSDMA	451.2	Phlebitis and thrombophlebitis of lower extremities	440	1.148	0.08305
rs3859192	17		GSDMA	611.2	Other abnormal findings on radiological examination of breast	77	0.748	0.0845
rs3859192	17		GSDMA	337.1	Peripheral autonomic neuropathy	150	0.8157	0.08614
rs3859192	17		GSDMA	70.0	Viral hepatitis	255	1.168	0.08678999999999999
rs3859192	17		GSDMA	385.0	Other disorders of middle ear and mastoid	110	1.266	0.08714
rs3859192	17		GSDMA	364.4	Corneal degenerations	184	1.209	0.0872
rs3859192	17		GSDMA	459.1	Hemorrhage NOS	58	1.382	0.08752
rs3859192	17		GSDMA	287.31	Primary thrombocytopenia	66	0.7351	0.08845
rs3859192	17		GSDMA	385.3	Cholesteatoma	51	1.409	0.08888
rs3859192	17		GSDMA	495.2	Asthma with exacerbation	155	0.8164	0.08888
rs3859192	17		GSDMA	386.3	Labyrinthitis	164	0.8193	0.0897
rs3859192	17		GSDMA	807.0	Fracture of ribs	346	1.145	0.09008
rs3859192	17		GSDMA	728.7	Fasciitis	974	1.099	0.09039
rs3859192	17		GSDMA	613.0	Other nonmalignant breast conditions	1077	1.094	0.09058
rs3859192	17		GSDMA	756.0	Other congenital musculoskeletal anomalies	26	1.615	0.09178
rs3859192	17		GSDMA	689.0	Disorder of skin and subcutaneous tissue NOS	2203	1.064	0.09267
rs3859192	17		GSDMA	571.81	Portal hypertension	54	1.385	0.09294
rs3859192	17		GSDMA	594.8	Renal colic	59	0.7252	0.09353
rs3859192	17		GSDMA	202.0	Cancer of other lymphoid, histiocytic tissue	264	1.159	0.09523
rs3859192	17		GSDMA	276.13	Hyperpotassemia	539	1.113	0.09534
rs3859192	17		GSDMA	588.2	Secondary hyperparathyroidism (of renal origin)	166	1.208	0.09705
rs3859192	17		GSDMA	479.0	Other upper respiratory disease	1057	1.092	0.09809
rs3859192	17		GSDMA	709.2	Sicca syndrome	100	1.2670000000000001	0.09865
rs3859192	17		GSDMA	627.0	Menopausal and postmenopausal disorders	2744	1.077	0.09875
rs3859192	17		GSDMA	540.11	Acute appendicitis	98	1.27	0.09957
rs3859192	17		GSDMA	459.0	Other disorders of circulatory system	979	1.084	0.1002
rs3859192	17		GSDMA	41.21	Rheumatic fever / chorea	33	1.511	0.1011
rs3859192	17		GSDMA	726.2	Synoviopathy	238	1.185	0.1017
rs3859192	17		GSDMA	496.2	Chronic bronchitis	596	1.11	0.1036
rs3859192	17		GSDMA	560.1	Paralytic ileus	204	1.183	0.1044
rs3859192	17		GSDMA	562.1	Diverticulosis	2483	1.067	0.1055
rs3859192	17		GSDMA	184.1	Malignant neoplasm of ovary and other uterine adnexa	79	1.3	0.106
rs3859192	17		GSDMA	743.9	Osteopenia	1796	1.073	0.1071
rs3859192	17		GSDMA	300.3	Obsessive-compulsive disorders	52	0.7171	0.1071
rs3859192	17		GSDMA	198.3	Secondary malignant neoplasm of digestive systems	92	1.272	0.1072
rs3859192	17		GSDMA	949.0	Allergies, other	323	1.1440000000000001	0.1075
rs3859192	17		GSDMA	440.22	Atherosclerosis of native arteries of the extremities with intermittent claudication	961	0.9087	0.1077
rs3859192	17		GSDMA	389.2	Conductive hearing loss	85	1.284	0.1087
rs3859192	17		GSDMA	605.0	Erectile dysfunction [ED]	1098	0.9123	0.1122
rs3859192	17		GSDMA	704.0	Diseases of hair and hair follicles	413	1.121	0.1139
rs3859192	17		GSDMA	261.2	Vitamin B-complex deficiencies	379	0.8875	0.1157
rs3859192	17		GSDMA	704.8	Other specified diseases of hair and hair follicles	206	1.171	0.11699999999999999
rs3859192	17		GSDMA	681.1	Cellulitis and abscess of fingers/toes	581	1.103	0.1183
rs3859192	17		GSDMA	440.9	Atherosclerosis of aorta	312	1.146	0.11900000000000001
rs3859192	17		GSDMA	568.1	Peritoneal adhesions (postoperative) (postinfection)	78	0.7739	0.1202
rs3859192	17		GSDMA	754.0	Congenital musculoskeletal deformities of spine	126	1.219	0.1212
rs3859192	17		GSDMA	560.0	Intestinal obstruction without mention of hernia	593	1.104	0.1218
rs3859192	17		GSDMA	752.0	Nervous system congenital anomalies	128	0.8169	0.1225
rs3859192	17		GSDMA	587.0	Kidney replaced by transpant	116	1.229	0.1226
rs3859192	17		GSDMA	300.4	Dysthymic disorder	796	1.094	0.1229
rs3859192	17		GSDMA	529.1	Glossitis	34	0.6751	0.1231
rs3859192	17		GSDMA	593.1	Gross hematuria	73	1.3030000000000002	0.1243
rs3859192	17		GSDMA	702.0	Degenerative skin conditions and other dermatoses	4203	1.052	0.1254
rs3859192	17		GSDMA	527.8	Other specified diseases of the salivary glands	53	1.355	0.1262
rs3859192	17		GSDMA	520.0	Disorders of tooth development	199	0.8478	0.1264
rs3859192	17		GSDMA	747.11	Cardiac shunt/ heart septal defect	111	0.8109999999999999	0.127
rs3859192	17		GSDMA	737.3	Kyphoscoliosis and scoliosis	229	1.158	0.1276
rs3859192	17		GSDMA	627.3	Postmenopausal atrophic vaginitis	526	1.125	0.1279
rs3859192	17		GSDMA	695.7	Lichen	88	1.261	0.1283
rs3859192	17		GSDMA	202.21	Nodular lymphoma	69	1.2990000000000002	0.1292
rs3859192	17		GSDMA	578.1	Hematemesis	70	1.298	0.1299
rs3859192	17		GSDMA	512.2	Painful respiration	1014	1.081	0.1301
rs3859192	17		GSDMA	840.1	Muscle/tendon sprain	37	0.6939	0.1307
rs3859192	17		GSDMA	289.4	Lymphadenitis	597	1.0959999999999999	0.1308
rs3859192	17		GSDMA	389.1	Sensorineural hearing loss	2291	0.9453	0.132
rs3859192	17		GSDMA	715.1	Sacroiliitis NEC	47	0.7232	0.1328
rs3859192	17		GSDMA	528.0	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	701	1.088	0.1363
rs3859192	17		GSDMA	941.0	Adverse reaction to serum or vaccine	50	1.3530000000000002	0.1365
rs3859192	17		GSDMA	720.1	Spinal stenosis of lumbar region	1005	0.9283	0.1375
rs3859192	17		GSDMA	374.3	Ptosis of eyelid	597	1.105	0.1382
rs3859192	17		GSDMA	428.1	Congestive heart failure (CHF) NOS	1854	1.064	0.1383
rs3859192	17		GSDMA	368.3	Anisometropia	221	1.159	0.139
rs3859192	17		GSDMA	476.0	Allergic rhinitis	1716	1.062	0.1391
rs3859192	17		GSDMA	603.1	Hydrocele	125	1.24	0.1394
rs3859192	17		GSDMA	574.1	Cholelithiasis	1031	0.9323	0.1396
rs3859192	17		GSDMA	428.0	Congestive heart failure; nonhypertensive	2044	1.061	0.1404
rs3859192	17		GSDMA	529.6	Glossodynia	40	0.7088	0.1413
rs3859192	17		GSDMA	242.0	Thyrotoxicosis with or without goiter	361	1.12	0.1414
rs3859192	17		GSDMA	618.1	Prolapse of vaginal walls	497	1.104	0.1434
rs3859192	17		GSDMA	695.4	Lupus	112	0.8177	0.1445
rs3859192	17		GSDMA	214.0	Lipoma	475	1.103	0.1446
rs3859192	17		GSDMA	427.4	Cardiac arrest and ventricular fibrillation	137	1.205	0.1449
rs3859192	17		GSDMA	290.2	Delirium due to conditions classified elsewhere	157	0.8417	0.1449
rs3859192	17		GSDMA	433.31	Transient cerebral ischemia	951	1.0759999999999998	0.1451
rs3859192	17		GSDMA	315.0	Develomental delays and disorders	261	1.14	0.1459
rs3859192	17		GSDMA	184.11	Malignant neoplasm of ovary	58	1.317	0.1463
