snp	chromosome	basepair	gene	phewas_code	phewas_string	cases	odds_ratio	p
rs10934853	3	128038373.0	EEFSEC	277.51	Lipoprotein disorders	178	0.6183	0.0004167
rs10934853	3	128038373.0	EEFSEC	430.1	Subarachnoid hemorrhage	36	2.164	0.001036
rs10934853	3	128038373.0	EEFSEC	264.0	Lack of normal physiological development	165	0.6621	0.002616
rs10934853	3	128038373.0	EEFSEC	278.0	Overweight, obesity and other hyperalimentation	3516	1.1079999999999999	0.0026609999999999997
rs10934853	3	128038373.0	EEFSEC	859.0	Complication due to other implant and internal device	176	0.6761	0.002954
rs10934853	3	128038373.0	EEFSEC	364.5	Corneal dystrophy	253	0.7168	0.0030789999999999997
rs10934853	3	128038373.0	EEFSEC	636.3	Hemorrhage in early pregnancy	28	2.169	0.0048259999999999996
rs10934853	3	128038373.0	EEFSEC	264.2	Failure to thrive	144	0.6666	0.005743
rs10934853	3	128038373.0	EEFSEC	979.0	Adverse drug events and drug allergies	727	0.836	0.0064150000000000006
rs10934853	3	128038373.0	EEFSEC	244.0	Hypothyroidism NOS	2042	0.8973	0.006945999999999999
rs10934853	3	128038373.0	EEFSEC	580.1	Glomerulonephritis	60	0.5155	0.007097
rs10934853	3	128038373.0	EEFSEC	278.1	Obesity	3141	1.101	0.007370000000000001
rs10934853	3	128038373.0	EEFSEC	375.2	Epiphora	166	1.381	0.009275
rs10934853	3	128038373.0	EEFSEC	537.0	Other disorders of stomach and duodenum	270	1.27	0.01128
rs10934853	3	128038373.0	EEFSEC	573.5	Jaundice (not of newborn)	109	0.6509	0.01167
rs10934853	3	128038373.0	EEFSEC	226.0	Benign neoplasm of thyroid glands	46	0.4954	0.01293
rs10934853	3	128038373.0	EEFSEC	759.0	Other and unspecified congenital anomalies	46	0.4973	0.013269999999999999
rs10934853	3	128038373.0	EEFSEC	530.14	Reflux esophagitis	459	0.8265	0.01864
rs10934853	3	128038373.0	EEFSEC	386.1	Meniere's disease	65	0.5887	0.01898
rs10934853	3	128038373.0	EEFSEC	555.1	Regional enteritis	110	1.403	0.01932
rs10934853	3	128038373.0	EEFSEC	526.1	Cysts of the jaws	25	0.3646	0.02014
rs10934853	3	128038373.0	EEFSEC	362.4	Retinal vascular changes and abnomalities	496	0.8285	0.0214
rs10934853	3	128038373.0	EEFSEC	604.3	Peyronie's disease	44	0.5082	0.022430000000000002
rs10934853	3	128038373.0	EEFSEC	259.0	Other endocrine disorders	80	1.4509999999999998	0.02333
rs10934853	3	128038373.0	EEFSEC	994.2	Sepsis	270	1.2329999999999999	0.02394
rs10934853	3	128038373.0	EEFSEC	364.9	Cornea replaced by transplant	49	0.5553	0.02478
rs10934853	3	128038373.0	EEFSEC	250.22	Type 2 diabetes with renal manifestations	437	1.187	0.02507
rs10934853	3	128038373.0	EEFSEC	961.0	Poisoning by other anti-infectives	425	0.821	0.02532
rs10934853	3	128038373.0	EEFSEC	79.0	Viral infection	709	1.1520000000000001	0.02545
